id,reply_id,reply_content,reply_date
2863975,개멍청한유라,좋은말씀이다 새겨들어 임마 ㅋ  - dc App,06.12 18:51:45
2863975,헬마스터,업무중 안전을 위해 똥을 작작 싸주세요.감사합니다.,06.12 18:59:59
2863974,프갤러1(183.101),귀여워,06.12 18:34:14
2863973,아스카영원히사랑해,대학생이면 그냥 윈트북 추천하는데,06.12 18:31:41
2863973,아스카영원히사랑해,hwp 안 열리고과제 보내면 ㄱㅛㅅㅜㄴㅣㅁ 이렇게 깨지고게임 안되는 거 개많은데 ㄱㅊ?,06.12 18:32:31
2863973,아스카영원히사랑해,물론 그거 말고는 아이폰 유저에게 최고의 노트북 맞음,06.12 18:33:09
2863973,개멍청한유라,짱좋다  - dc App,06.12 18:52:02
2863973,헤르 미온느,3D 할라믄 맥은 별로다 ㅇㅅㅇ,06.12 21:36:27
2863970,ㅇㅇ,넹,06.12 18:14:36
2863969,프갤러1(220.120),제가 찾던 개발자 관련 조언 여기 있네요 - dc App,06.12 18:39:33
2863968,루도그담당(223.39),학생이라고 네고 << 더 해주기 싫음학생이 벼슬이노,06.12 17:26:55
2863968,ㅆㅇㅆ(124.216),아 진짜 머리통 깨부수고 싶다,06.12 17:27:15
2863968,ㅇㅇ(211.235),학생의 발전을 위해 몇몇함수 todo 처리해서 납품하자,06.12 17:37:51
2863968,개멍청한유라,네고맨봤나봐 ㅠ   - dc App,06.12 18:52:23
2863968,ㅇㅇ(118.235),ㅋㅋ,06.12 18:53:51
2863968,슈퍼막코더(126.166),자영업자의 고충은 영원하노 이기,06.12 18:59:01
2863966,프갤러1(121.190),만들어진지 오래된 옵챗방 개당 5천원에 삽니다~~아무도없어도 상관없음~~~Open59  톡 ㄱㄱ!!,06.12 17:23:44
2863965,ㅇㅇ(183.101),특이점갤러리보니까 뇌 구조 파악중인데 뉴런가중치 분석해서 새로운 모델 나올듯,06.12 17:21:12
2863965,글쓴 프갤러(122.36),"가중치 분석이 얼마나 가치가 있는 작업인지는 잘은 모르겠다만, 직관적으로 생각해 봤을 땐 예측모델이라는 틀을 벗어나는 방식은 아닐거라고 생각이 됨. 정말 인간의 지능이 패턴예측에서 끝나는걸까?",06.12 17:23:27
2863965,프갤러1(183.101),일리야 수츠케버는 그렇게 생각하고있음 인간지능도 그정도일거라고,06.12 18:09:37
2863961,아아아앙,아다냐  - dc App,06.12 17:31:45
2863961,프갤러2(183.101),모솔이 아다지 그럼.. 뭔데,06.12 18:33:22
2863961,프갤러1(118.235),국결,06.12 18:28:21
2863953,ㅇㅇ(183.101),중앙집권이니까,06.12 16:23:39
2863953,ㅇㅇ(183.101),지방 호족단위면 맨날털리는게 관료고인간들은 걍 상인하는게낫지,06.12 16:24:27
2863953,ㅇㅇ(183.101),기술이나 왜냐 기술인은 서로 데려가니까.유럽도보면 과학자를 지역 유명가문에서 지원했음,06.12 16:25:07
2863952,프갤러1(211.235),그건맞음 ㅋㅋㅋ 나도 직장은 걍 깔아두고 공무원준비하면서 붙으면 옮기려고,06.12 16:18:16
2863952,타이밍뒷통수한뱡(1.213),노인들이 글쓴이를 매장할것입니다,06.12 16:21:05
2863951,프갤러1(211.235),상식적으로 개발자 들이 하는게 다른 업종에서 하는거 표준화/자동화/간소화 해주는건데 다른직업이 먼저 뒤지면 뒤졌지 개발자가 먼저 뒤지겠냐..,06.12 16:16:18
2863951,ㅇㅇ(183.101),간호사준비하나봄,06.12 16:16:33
2863951,프갤러1(211.235),@ㅇㅇ(183.101) 오 그건 대체불가지 ㅇㅈ,06.12 16:16:46
2863951,ㅇㅇ(183.101),뭐할꺼야?,06.12 16:16:21
2863949,프갤러1(60.196),개발자도 생산직이야! ㅇ ㅅㅇ,06.12 16:09:29
2863949,ㅇㅇ,공부안하면 도태되고 대기업 비교도안되게 바늘구멍에다 단순 노동직은 AI로 빠르기 실직 되자나차라리 현장직은 노조 때문이라도 회사가 아에 망하는거 아니면 정규직은 정년까지 못짤라서 좋단말이지  - dc App,06.12 16:12:20
